,Fold,Algorithm,Label,Model,MAE
0,0,3,Precision,random_forest,170.25966262418274
1,1,3,Precision,random_forest,471.48101443606225
2,2,3,Precision,random_forest,489.06947002570837
3,3,3,Precision,random_forest,515.8632558109153
4,4,3,Precision,random_forest,374.23264161300636
5,5,3,Precision,random_forest,288.17493711669346
6,6,3,Precision,random_forest,511.310533577719
7,7,3,Precision,random_forest,533.5515148234921
8,8,3,Precision,random_forest,366.18718823939224
9,9,3,Precision,random_forest,345.72623975777077
10,10,3,Precision,random_forest,239.63153160621297
11,11,3,Precision,random_forest,843.6587467275793
12,12,3,Precision,random_forest,357.0750110321106
13,13,3,Precision,random_forest,312.39589180503043
14,14,3,Precision,random_forest,319.0505743319161
15,15,3,Precision,random_forest,341.976551554845
16,16,3,Precision,random_forest,571.512924414792
17,17,3,Precision,random_forest,663.9928373765332
18,18,3,Precision,random_forest,168.0050043251293
19,19,3,Precision,random_forest,395.52719452377255
20,20,3,Precision,random_forest,532.2252312052212
21,21,3,Precision,random_forest,119.18123820580838
22,22,3,Precision,random_forest,388.36998976298725
23,23,3,Precision,random_forest,819.169905987068
24,24,3,Precision,random_forest,392.0753379568325
25,25,3,Precision,random_forest,459.50971866919554
26,26,3,Precision,random_forest,565.1925181841679
27,27,3,Precision,random_forest,346.2240193602325
28,28,3,Precision,random_forest,433.8556537884799
29,29,3,Precision,random_forest,775.4391265914288
30,30,3,Precision,random_forest,928.669653649209
31,31,3,Precision,random_forest,392.21170955145413
32,32,3,Precision,random_forest,320.9414865520857
33,33,3,Precision,random_forest,338.18745107903095
34,34,3,Precision,random_forest,1055.119950465186
35,35,3,Precision,random_forest,388.20783102213136
36,36,3,Precision,random_forest,497.450794458213
37,37,3,Precision,random_forest,1722.2081162113907
38,38,3,Precision,random_forest,162.48555458388898
39,39,3,Precision,random_forest,527.7663275280497
40,40,3,Precision,random_forest,1107.5569936641823
41,41,3,Precision,random_forest,275.979238799712
42,42,3,Precision,random_forest,812.0866979739703
43,43,3,Precision,random_forest,772.9386952420188
44,44,3,Precision,random_forest,306.7443907070007
45,45,3,Precision,random_forest,3850.390111731371
46,46,3,Precision,random_forest,317.37140950928574
47,47,3,Precision,random_forest,368.87420996957013
48,48,3,Precision,random_forest,403.3107004354327
49,49,3,Precision,random_forest,977.158791508813
